trackid,obstime,positionx,positiony,positionz,orientationw,variancex,variancey
17533400,1509771122.555222,18.36284343035665,-10.418555543817869,-50.302806854248054,0.04855291355718918,0.036150656132524613,0.031110385970113192
17533400,1509771122.655302,17.969016154560194,-10.388827430231423,-50.305454254150405,0.037662227227106014,0.038484726190979451,0.026388161094622557
17533400,1509771122.755431,17.650973446370166,-10.445048534377976,-50.16910934448246,0.08737079221167147,0.031996426191479667,0.031428943620765468
17533400,1509771122.855645,17.40026766795668,-10.474974160701526,-50.169109344482706,0.05936677678231986,0.030489661857644974,0.035139671469218578
17533400,1509771122.955557,17.224397803095485,-10.451412200927734,-50.169109344482706,0.012383583256932153,0.030873954424385102,0.041663125282917476
17533400,1509771123.055684,17.05607017946538,-10.451412200927734,-50.169109344482706,0.12110702001361075,0.03262989606215369,0.050988681355657033
17533400,1509771123.155873,16.883398235596655,-10.451412200927734,-50.169109344482706,0.06571419868597586,0.034243182839136688,0.065767127664999397
17533400,1509771123.255817,16.0782856103198,-10.397007942199707,-49.86704635620117,0.042114382854615044,0.070777800219881559,0.035952678624590659
17533500,1509771123.355976,-4.229719000354585,1.8662003380976542,-50.504470825195334,0.3252920095292838,0.030059703147727296,0.021291290506582558
17533400,1509771123.355976,15.606590957885237,-10.397007942199707,-49.8670463562019,0.035984994525478826,0.137240370181059,0.040669971132453013
17533500,1509771123.45599,-4.3265635592567815,1.8458619456884169,-50.45781326293947,0.10331652134320668,0.029567656638943948,0.025131793885102123
17533400,1509771123.45599,15.104764613237574,-10.382784843444824,-49.87876510620117,0.04159898100747553,0.043439965792770346,0.030982732640988855
17533500,1509771123.556116,-4.55236172765748,1.852038753375919,-50.312686920165966,0.013673882372000559,0.02816060372741877,0.028358693319203675
17533400,1509771123.556116,14.663663631831787,-10.382784843444824,-49.87876510620131,0.03304805662103391,0.032148799507976229,0.033663902806492375
17533500,1509771123.656195,-4.628148700929982,1.8904249483927411,-50.429794311523494,0.23227648304699305,0.028033947552073002,0.02893095627861457
